id;level;parent_id;name;lat;lon;min_lat;max_lat;min_lon;max_lon;geometry_wkt
2661390;3;633070;Barcelona;414.175.166.365.801;218.598.370.921.789;414.151.393.075.041;414.198.939.352.814;218.282.564.393.526;218.914.197.895.648;POLYGON((2.18282564393526 41.415408597567,2.18318320989162 41.4198939352814,2.18914197895648 41.4196246030022,2.18878400643224 41.4151393075041,2.18282564393526 41.415408597567))
2661391;3;633070;Barcelona;414.220.019.501.676;218.634.151.895.219;414.196.246.030.022;414.243.792.669.531;218.318.320.989.162;218.950.003.251.304;POLYGON((2.18318320989162 41.4198939352814,2.18354085678919 41.4243792669531,2.18950003251304 41.424109892452,2.18914197895648 41.4196246030022,2.18318320989162 41.4198939352814))
2661392;3;633070;Barcelona;414.217.324.431.711;219.230.045.082.437;414.193.549.635.357;41.424.109.892.452;218.914.197.895.648;219.545.912.718.354;POLYGON((2.18914197895648 41.4196246030022,2.18950003251304 41.424109892452,2.19545912718354 41.4238402107157,2.19510066698902 41.4193549635357,2.18914197895648 41.4196246030022))
2661393;3;633070;Barcelona;414.172.471.718.267;219.194.223.448.717;414.148.697.103.016;414.196.246.030.022;218.878.400.643.224;219.510.066.698.902;POLYGON((2.18878400643224 41.4151393075041,2.18914197895648 41.4196246030022,2.19510066698902 41.4193549635357,2.19474228791791 41.4148697103016,2.18878400643224 41.4151393075041))
2661394;3;633071;Barcelona;414.264.872.577.091;218.669.940.968.375;41.424.109.892.452;414.288.645.925.812;218.354.085.678.919;218.985.816.712.294;POLYGON((2.18354085678919 41.4243792669531,2.18389858464898 41.4288645925812,2.18985816712294 41.4285951758525,2.18950003251304 41.424109892452,2.18354085678919 41.4243792669531))
2661395;3;633071;Barcelona;414.309.725.592.038;218.705.738.143.358;414.285.951.758.525;414.333.499.121.651;218.389.858.464.898;21.902.163.828.072;POLYGON((2.18389858464898 41.4288645925812,2.18425639349198 41.4333499121651,2.1902163828072 41.433080453203,2.18985816712294 41.4285951758525,2.18389858464898 41.4288645925812))
2661396;3;633071;Barcelona;414.307.029.677.042;219.301.712.678.499;414.283.254.518.407;41.433.080.453.203;218.985.816.712.294;219.617.629.102.702;POLYGON((2.18985816712294 41.4285951758525,2.1902163828072 41.433080453203,2.19617629102702 41.43281068691,2.19581766852252 41.4283254518407,2.18985816712294 41.4285951758525))
2661397;3;633071;Barcelona;414.262.177.084.639;219.265.874.824.997;414.238.402.107.157;414.285.951.758.525;218.950.003.251.304;219.581.766.852.252;POLYGON((2.18950003251304 41.424109892452,2.18985816712294 41.4285951758525,2.19581766852252 41.4283254518407,2.19545912718354 41.4238402107157,2.18950003251304 41.424109892452))
2661398;3;633072;Barcelona;414.259.478.519.656;219.861.800.570.679;414.235.702.217.561;414.283.254.518.407;219.545.912.718.354;22.017.770.887.566;POLYGON((2.19545912718354 41.4238402107157,2.19581766852252 41.4283254518407,2.2017770887566 41.4280554205578,2.20141814070959 41.4235702217561,2.19545912718354 41.4238402107157))
2661399;3;633072;Barcelona;414.304.330.689.037;219.897.679.100.594;414.280.554.205.578;4.143.281.068.691;219.581.766.852.252;220.213.611.806.026;POLYGON((2.19581766852252 41.4283254518407,2.19617629102702 41.43281068691,2.20213611806026 41.4325406132981,2.2017770887566 41.4280554205578,2.19581766852252 41.4283254518407))
