id,name,Comarca,Abreviatura comarca,Província,Longitud,Latitud
34090808140,Navarcles,Bages,BAG,Barcelona,1.903759781,41.751626892
34090808144,Olvan,Berguedà,BER,Barcelona,1.906973539,42.056997671
34090808146,Olesa de Bonesvalls,Alt Penedès,APE,Barcelona,1.850758765,41.351704507
34092525043,La Vall de Boí,Alta Ribagorça,ARI,Lleida,0.800461177,42.504586732
34092525062,Camarasa,Noguera,NOG,Lleida,0.877764265,41.875255654
34090808148,Olivella,Garraf,GAF,Barcelona,1.812242091,41.310311558
34090808149,Olost,Osona,OSO,Barcelona,2.095728143,41.985806687
34090808150,Orís,Osona,OSO,Barcelona,2.239282559,42.058223954
34090808155,Palafolls,Maresme,MAR,Barcelona,2.749412882,41.667246003
34090808156,Palau-solità i Plegamans,Vallès Occidental,VOC,Barcelona,2.178421008,41.58754343
34090808157,Pallejà,Baix Llobregat,BLL,Barcelona,1.996775252,41.422579897
34090808158,El Papiol,Baix Llobregat,BLL,Barcelona,2.010961168,41.438024248
34090808160,Perafita,Osona,OSO,Barcelona,2.106999046,42.042266806
34090808165,La Pobla de Claramunt,Anoia,ANO,Barcelona,1.675296009,41.555022308
34090808170,Els Prats de Rei,Anoia,ANO,Barcelona,1.542081512,41.705537756
34090808176,Pujalt,Anoia,ANO,Barcelona,1.422600785,41.71733521
34092525067,Castelldans,Garrigues,GAR,Lleida,0.765325275,41.496613288
34092525076,El Cogul,Garrigues,GAR,Lleida,0.689520695,41.466722315
34092525105,Granyena de les Garrigues,Garrigues,GAR,Lleida,0.650071322,41.432562442
34092525111,Guixers,Solsonès,SOL,Lleida,1.666343154,42.132434068
34090808281,Teià,Maresme,MAR,Barcelona,2.319824033,41.499674133
34090808203,Sant Cebrià de Vallalta,Maresme,MAR,Barcelona,2.599410003,41.619470995
34090808178,Rajadell,Bages,BAG,Barcelona,1.70622668,41.727696301
34090808179,Rellinars,Vallès Occidental,VOC,Barcelona,1.910774943,41.637431146
34090808183,Roda de Ter,Osona,OSO,Barcelona,2.309491592,41.980805565
34090808192,Santpedor,Bages,BAG,Barcelona,1.839177662,41.783273365
34090808194,Sant Adrià de Besòs,Barcelonès,BAR,Barcelona,2.217787409,41.430067423
34090808197,Sant Andreu de Llavaneres,Maresme,MAR,Barcelona,2.483347205,41.574458666
34090808200,Sant Boi de Llobregat,Baix Llobregat,BLL,Barcelona,2.042704219,41.347524275
34090808206,Sant Cugat Sesgarrigues,Alt Penedès,APE,Barcelona,1.75236167,41.362615136
34094343134,El Rourell,Alt Camp,ACA,Tarragona,1.217774332,41.224874495
34090808204,Sant Climent de Llobregat,Baix Llobregat,BLL,Barcelona,1.996420408,41.337070695
34090808207,Sant Esteve de Palautordera,Vallès Oriental,VOR,Barcelona,2.435177772,41.70353973
34090808230,Premià de Dalt,Maresme,MAR,Barcelona,2.34246115,41.507311014
34090808209,Sant Fost de Campsentelles,Vallès Oriental,VOR,Barcelona,2.232936617,41.518757192
34090808210,Sant Feliu de Codines,Vallès Oriental,VOR,Barcelona,2.164546597,41.688918231
34090808211,Sant Feliu de Llobregat,Baix Llobregat,BLL,Barcelona,2.046230144,41.381953246
34090808212,Sant Feliu Sasserra,Bages,BAG,Barcelona,2.022486759,41.944812194
34090808213,Sant Fruitós de Bages,Bages,BAG,Barcelona,1.87327387,41.750674624
34092525097,Fulleda,Garrigues,GAR,Lleida,1.02431182,41.463053091
34090808214,Vilassar de Dalt,Maresme,MAR,Barcelona,2.359477069,41.516990794
34090808217,Sant Joan Despí,Baix Llobregat,BLL,Barcelona,2.054954782,41.367821674
34090808218,Sant Joan de Vilatorrada,Bages,BAG,Barcelona,1.804848323,41.745507159
34090808220,Sant Julià de Vilatorta,Osona,OSO,Barcelona,2.324497728,41.922295539
